ymd,bWendu,yWendu,tianqi,fengxiang,fengli
2018-01-01,3℃,-6℃,晴~多云,东北风,1-2级
2018-01-02,2℃,-5℃,阴~多云,东北风,1-2级
2018-01-03,2℃,-5℃,多云,北风,1-2级
2018-01-04,0℃,-8℃,阴,东北风,1-2级
2018-01-05,3℃,-6℃,多云~晴,西北风,1-2级
2018-01-06,2℃,-5℃,多云~阴,西南风,1-2级
2018-01-07,2℃,-4℃,阴~多云,西南风,1-2级
2018-01-08,2℃,-6℃,晴,西北风,4-5级
2018-01-09,1℃,-8℃,晴,西北风,3-4级
2018-01-10,-2℃,-10℃,晴,西北风,1-2级
2018-01-11,-1℃,-10℃,晴,北风,1-2级
2018-01-12,2℃,-8℃,晴,西南风,1-2级
2018-01-13,3℃,-7℃,多云,南风,1-2级
2018-01-14,6℃,-5℃,晴~多云,西北风,1-2级
2018-01-15,2℃,-5℃,阴,东南风,1-2级
2018-01-16,4℃,-5℃,多云,南风,1-2级
2018-01-17,6℃,-7℃,多云~晴,西北风,1-2级
2018-01-18,5℃,-6℃,晴,西南风,1-2级
2018-01-19,7℃,-4℃,晴,南风,1-2级
2018-01-20,3℃,-6℃,晴~多云,东风,1-2级
2018-01-21,0℃,-5℃,阴~小雪,东北风,1-2级
2018-01-22,-3℃,-10℃,小雪~多云,东风,1-2级
2018-01-23,-4℃,-12℃,晴,西北风,3-4级
2018-01-24,-4℃,-11℃,晴,西南风,1-2级
2018-01-25,-3℃,-11℃,多云,东北风,1-2级
2018-01-26,-3℃,-10℃,晴~多云,南风,1-2级
2018-01-27,-1℃,-9℃,多云,南风,1-2级
2018-01-28,-1℃,-9℃,晴,西北风,3-4级
2018-01-29,1℃,-8℃,晴,西北风,1-2级
2018-01-30,4℃,-7℃,晴,西北风,1-2级
2018-01-31,3℃,-8℃,晴,西南风,1-2级
2018-02-01,4℃,-7℃,多云,北风,1-2级
2018-02-02,-1℃,-9℃,晴,北风,3-4级
2018-02-03,0℃,-9℃,多云,北风,1-2级
2018-02-04,1℃,-8℃,晴,西南风,1-2级
2018-02-05,0℃,-10℃,晴,北风,3-4级
2018-02-06,3℃,-7℃,多云~阴,西南风,1-2级
2018-02-07,2℃,-10℃,多云~晴,北风,4-5级
2018-02-08,3℃,-7℃,多云,南风,3-4级
2018-02-09,4℃,-9℃,多云,西北风,4-5级
2018-02-10,1℃,-9℃,晴,西北风,3-4级
2018-02-11,0℃,-9℃,晴,西北风,4-5级
2018-02-12,5℃,-7℃,晴,西北风,1-2级
2018-02-13,8℃,-4℃,晴~多云,西风,1-2级
2018-02-14,6℃,-6℃,多云,北风,1-2级
2018-02-15,5℃,-5℃,多云,西南风,1-2级
2018-02-16,8℃,-5℃,晴~多云,西南风,1-2级
2018-02-17,5℃,-4℃,多云~阴,南风,1-2级
2018-02-18,8℃,-3℃,多云,南风,1-2级
2018-02-19,6℃,-3℃,多云,南风,1-2级
2018-02-20,5℃,-5℃,晴,北风,1-2级
2018-02-21,8℃,-4℃,晴,南风,1-2级
2018-02-22,9℃,-4℃,多云,西南风,1-2级
2018-02-23,10℃,-4℃,多云,东北风,1-2级
2018-02-24,3℃,-6℃,多云~晴,南风,1-2级
2018-02-25,6℃,-4℃,多云,西南风,1-2级
2018-02-26,12℃,-1℃,晴~多云,西南风,1-2级
2018-02-27,7℃,0℃,阴,东风,1-2级
2018-02-28,9℃,-2℃,多云~晴,西南风,3-4级
2018-03-01,8℃,-3℃,多云,西南风,1-2级
2018-03-02,9℃,-1℃,晴~多云,北风,1-2级
2018-03-03,13℃,3℃,多云~阴,北风,1-2级
2018-03-04,7℃,-2℃,阴~多云,东南风,1-2级
2018-03-05,8℃,-3℃,晴,南风,1-2级
2018-03-06,6℃,-3℃,多云~阴,东南风,3-4级
2018-03-07,6℃,-2℃,阴~多云,北风,1-2级
2018-03-08,8℃,-4℃,晴,东北风,1-2级
2018-03-09,10℃,-2℃,多云,西南风,1-2级
2018-03-10,14℃,-2℃,晴,东南风,1-2级
2018-03-11,11℃,0℃,多云,南风,1-2级
2018-03-12,15℃,3℃,多云~晴,南风,1-2级
2018-03-13,17℃,5℃,晴~多云,南风,1-2级
2018-03-14,15℃,6℃,多云~阴,东北风,1-2级
2018-03-15,12℃,-1℃,多云~晴,东北风,3-4级
2018-03-16,10℃,-1℃,多云,南风,1-2级
2018-03-17,4℃,0℃,小雨~阴,南风,1-2级
2018-03-18,13℃,1℃,多云~晴,西南风,1-2级
2018-03-19,13℃,2℃,多云,东风,1-2级
2018-03-20,10℃,-2℃,多云,南风,1-2级
2018-03-21,11℃,1℃,多云,西南风,1-2级
2018-03-22,17℃,4℃,晴~多云,西南风,1-2级
2018-03-23,18℃,5℃,多云,北风,1-2级
2018-03-24,22℃,5℃,晴,西南风,1-2级
2018-03-25,24℃,7℃,晴,南风,1-2级
2018-03-26,25℃,7℃,多云,西南风,1-2级
2018-03-27,27℃,11℃,晴,南风,1-2级
2018-03-28,25℃,9℃,多云~晴,东风,1-2级
2018-03-29,19℃,7℃,晴,南风,1-2级
2018-03-30,18℃,8℃,多云,南风,1-2级
2018-03-31,23℃,9℃,多云~晴,南风,1-2级
2018-04-01,25℃,11℃,晴~多云,南风,1-2级
2018-04-02,26℃,11℃,多云,北风,1-2级
2018-04-03,14℃,6℃,多云~阴,东北风,3-4级
2018-04-04,10℃,1℃,小雨~雨夹雪,东北风,1-2级
2018-04-05,10℃,3℃,多云,西南风,1-2级
2018-04-06,11℃,4℃,多云~晴,北风,4-5级
2018-04-07,12℃,2℃,多云~晴,西北风,3-4级
2018-04-08,18℃,5℃,晴,西南风,1-2级
2018-04-09,20℃,7℃,晴~多云,南风,1-2级
2018-04-10,24℃,8℃,多云~晴,西北风,4-5级
2018-04-11,23℃,9℃,晴,西南风,3-4级
2018-04-12,22℃,7℃,多云~小雨,东南风,1-2级
2018-04-13,11℃,6℃,小雨~多云,东南风,1-2级
2018-04-14,19℃,5℃,多云~晴,北风,4-5级
2018-04-15,21℃,8℃,晴,西南风,1-2级
2018-04-16,23℃,12℃,晴~多云,南风,1-2级
2018-04-17,25℃,12℃,多云~晴,南风,1-2级
2018-04-18,27℃,14℃,多云~晴,西南风,3-4级
2018-04-19,26℃,13℃,多云,东南风,4-5级
2018-04-20,28℃,14℃,多云~小雨,南风,4-5级
2018-04-21,16℃,12℃,大雨~小雨,东北风,3-4级
2018-04-22,16℃,12℃,阴~多云,东北风,3-4级
2018-04-23,19℃,9℃,多云,东北风,3-4级
2018-04-24,23℃,10℃,晴,北风,3-4级
2018-04-25,25℃,11℃,晴,西南风,3-4级
2018-04-26,26℃,12℃,多云~晴,西北风,1-2级
2018-04-27,25℃,13℃,晴,西南风,3-4级
2018-04-28,27℃,17℃,晴,西南风,3-4级
2018-04-29,30℃,16℃,多云,南风,3-4级
2018-04-30,24℃,14℃,多云,南风,3-4级
2018-05-01,25℃,13℃,阴,东北风,3-4级
2018-05-02,25℃,13℃,多云~晴,北风,3-4级
2018-05-03,24℃,12℃,晴,北风,1-2级
2018-05-04,27℃,16℃,晴~多云,西南风,1-2级
2018-05-05,25℃,13℃,多云,北风,3-4级
2018-05-06,28℃,14℃,晴,西南风,1-2级
2018-05-07,28℃,13℃,晴,南风,3-4级
2018-05-08,27℃,13℃,晴,东南风,3-4级
2018-05-09,29℃,17℃,晴~多云,西南风,3-4级
2018-05-10,26℃,18℃,多云,南风,3-4级
2018-05-11,24℃,15℃,阴~多云,东风,1-2级
2018-05-12,28℃,16℃,小雨,东南风,3-4级
2018-05-13,30℃,17℃,晴,南风,1-2级
2018-05-14,34℃,22℃,晴~多云,南风,3-4级
2018-05-15,31℃,22℃,小雨,南风,1-2级
2018-05-16,29℃,21℃,多云~小雨,东风,1-2级
2018-05-17,25℃,19℃,小雨~多云,北风,1-2级
2018-05-18,28℃,16℃,多云~晴,南风,1-2级
2018-05-19,27℃,16℃,多云~小雨,南风,1-2级
2018-05-20,21℃,16℃,阴~小雨,东风,1-2级
2018-05-21,18℃,14℃,小雨,东南风,1-2级
2018-05-22,25℃,10℃,多云~晴,西风,4-5级
2018-05-23,29℃,15℃,晴,西南风,3-4级
2018-05-24,31℃,17℃,晴,南风,3-4级
2018-05-25,31℃,19℃,多云,西南风,1-2级
2018-05-26,30℃,17℃,小雨~多云,西南风,3-4级
2018-05-27,32℃,17℃,多云,西南风,3-4级
2018-05-28,30℃,16℃,晴,西北风,4-5级
2018-05-29,31℃,16℃,多云,西北风,1-2级
2018-05-30,33℃,18℃,晴,西风,1-2级
2018-05-31,35℃,19℃,晴,南风,1-2级
2018-06-01,36℃,21℃,晴,西南风,3-4级
2018-06-02,35℃,21℃,多云,南风,3-4级
2018-06-03,32℃,19℃,多云,北风,1-2级
2018-06-04,35℃,20℃,晴,西南风,3-4级
2018-06-05,38℃,25℃,多云,西南风,4-5级
2018-06-06,36℃,25℃,多云,东风,1-2级
2018-06-07,33℃,22℃,多云,西南风,1-2级
2018-06-08,32℃,19℃,多云~雷阵雨,西南风,1-2级
2018-06-09,23℃,17℃,小雨,北风,1-2级
2018-06-10,27℃,17℃,多云,东南风,1-2级
2018-06-11,29℃,19℃,多云,西南风,3-4级
2018-06-12,32℃,19℃,多云~雷阵雨,东南风,1-2级
2018-06-13,28℃,19℃,雷阵雨~多云,东北风,1-2级
2018-06-14,31℃,20℃,多云,南风,1-2级
2018-06-15,32℃,20℃,多云,东南风,3-4级
2018-06-16,31℃,21℃,多云~雷阵雨,南风,1-2级
2018-06-17,31℃,22℃,阴~雷阵雨,南风,1-2级
2018-06-18,30℃,21℃,雷阵雨,西南风,1-2级
2018-06-19,32℃,20℃,多云~晴,东北风,1-2级
2018-06-20,35℃,21℃,晴,南风,1-2级
2018-06-21,35℃,24℃,多云,南风,1-2级
2018-06-22,30℃,21℃,雷阵雨~多云,东南风,1-2级
2018-06-23,35℃,24℃,多云~晴,南风,1-2级
2018-06-24,36℃,25℃,多云,南风,3-4级
2018-06-25,34℃,24℃,雷阵雨,南风,1-2级
2018-06-26,36℃,25℃,晴,西南风,3-4级
2018-06-27,37℃,25℃,多云,东北风,3-4级
2018-06-28,35℃,24℃,多云~晴,北风,1-2级
2018-06-29,37℃,25℃,晴,南风,1-2级
2018-06-30,37℃,23℃,雷阵雨~多云,东南风,3-4级
2018-07-01,35℃,23℃,晴,东南风,1-2级
2018-07-02,32℃,23℃,多云~雷阵雨,东南风,3-4级
2018-07-03,32℃,24℃,雷阵雨~多云,东南风,1-2级
2018-07-04,35℃,26℃,多云,西南风,1-2级
2018-07-05,37℃,24℃,多云~雷阵雨,东南风,1-2级
2018-07-06,33℃,23℃,多云~雷阵雨,东南风,3-4级
2018-07-07,31℃,23℃,雷阵雨,东南风,1-2级
2018-07-08,30℃,23℃,雷阵雨,南风,1-2级
2018-07-09,30℃,22℃,雷阵雨~多云,东南风,1-2级
2018-07-10,30℃,22℃,多云~雷阵雨,南风,1-2级
2018-07-11,25℃,22℃,雷阵雨~大雨,东北风,1-2级
2018-07-12,27℃,22℃,多云,南风,1-2级
2018-07-13,28℃,23℃,雷阵雨,东风,1-2级
2018-07-14,31℃,24℃,雷阵雨~多云,东南风,1-2级
2018-07-15,32℃,25℃,雷阵雨,南风,1-2级
2018-07-16,31℃,24℃,中雨~雷阵雨,南风,1-2级
2018-07-17,27℃,23℃,中雨~雷阵雨,西风,1-2级
2018-07-18,33℃,25℃,多云,南风,1-2级
2018-07-19,33℃,27℃,多云~雷阵雨,南风,1-2级
2018-07-20,33℃,27℃,多云,西南风,3-4级
2018-07-21,34℃,26℃,多云~雷阵雨,南风,3-4级
2018-07-22,34℃,25℃,多云,东南风,1-2级
2018-07-23,32℃,25℃,小雨~大雨,东风,1-2级
2018-07-24,28℃,26℃,暴雨~雷阵雨,东北风,3-4级
2018-07-25,32℃,25℃,多云,北风,1-2级
2018-07-26,33℃,25℃,多云~雷阵雨,东北风,1-2级
2018-07-27,32℃,23℃,多云,东北风,1-2级
2018-07-28,33℃,24℃,多云~晴,东南风,1-2级
2018-07-29,33℃,25℃,多云,东南风,1-2级
2018-07-30,34℃,25℃,晴,东南风,1-2级
2018-07-31,35℃,26℃,晴,南风,1-2级
2018-08-01,35℃,27℃,多云~雷阵雨,东南风,1-2级
2018-08-02,36℃,26℃,多云~晴,南风,1-2级
2018-08-03,36℃,26℃,晴,南风,1-2级
2018-08-04,36℃,27℃,晴~多云,南风,1-2级
2018-08-05,35℃,25℃,雷阵雨~中雨,东风,1-2级
2018-08-06,30℃,25℃,小雨~雷阵雨,东风,1-2级
2018-08-07,29℃,24℃,雷阵雨~中雨,东南风,1-2级
2018-08-08,29℃,24℃,雷阵雨~阴,东北风,1-2级
2018-08-09,30℃,24℃,多云,南风,1-2级
2018-08-10,33℃,25℃,多云~雷阵雨,南风,1-2级
2018-08-11,30℃,23℃,雷阵雨~中雨,东风,1-2级
2018-08-12,30℃,24℃,雷阵雨,东南风,1-2级
2018-08-13,31℃,24℃,雷阵雨~中雨,东北风,1-2级
2018-08-14,29℃,24℃,中雨~小雨,东北风,1-2级
2018-08-15,32℃,24℃,多云,东北风,3-4级
2018-08-16,30℃,21℃,晴~多云,东北风,1-2级
2018-08-17,30℃,22℃,多云~雷阵雨,东南风,1-2级
2018-08-18,28℃,23℃,小雨~中雨,北风,3-4级
2018-08-19,26℃,23℃,中雨~小雨,东北风,1-2级
2018-08-20,32℃,23℃,多云~晴,北风,1-2级
2018-08-21,32℃,22℃,多云,北风,1-2级
2018-08-22,28℃,21℃,雷阵雨~多云,西南风,1-2级
2018-08-23,31℃,21℃,多云,北风,1-2级
2018-08-24,30℃,20℃,晴,北风,1-2级
2018-08-25,31℃,22℃,多云~小雨,南风,1-2级
2018-08-26,31℃,22℃,雷阵雨,东南风,1-2级
2018-08-27,30℃,22℃,多云~雷阵雨,东南风,1-2级
2018-08-28,29℃,22℃,小雨~多云,南风,1-2级
2018-08-29,31℃,20℃,晴~多云,北风,3-4级
2018-08-30,29℃,20℃,多云,南风,1-2级
2018-08-31,29℃,20℃,多云~阴,东南风,1-2级
2018-09-01,27℃,19℃,阴~小雨,南风,1-2级
2018-09-02,27℃,19℃,小雨~多云,南风,1-2级
2018-09-03,30℃,19℃,晴,北风,3-4级
2018-09-04,31℃,18℃,晴,西南风,3-4级
2018-09-05,31℃,19℃,晴~多云,西南风,3-4级
2018-09-06,27℃,18℃,多云~晴,西北风,4-5级
2018-09-07,27℃,16℃,晴,西北风,3-4级
2018-09-08,27℃,15℃,多云~晴,北风,1-2级
2018-09-09,28℃,16℃,晴,西南风,1-2级
2018-09-10,28℃,19℃,多云,南风,1-2级
2018-09-11,26℃,19℃,多云,南风,1-2级
2018-09-12,29℃,19℃,多云,南风,1-2级
2018-09-13,29℃,20℃,多云~阴,南风,1-2级
2018-09-14,28℃,19℃,小雨~多云,南风,1-2级
2018-09-15,26℃,15℃,多云,北风,3-4级
2018-09-16,25℃,14℃,多云~晴,北风,1-2级
2018-09-17,27℃,17℃,多云~阴,北风,1-2级
2018-09-18,25℃,17℃,阴~多云,西南风,1-2级
2018-09-19,26℃,17℃,多云,南风,1-2级
2018-09-20,27℃,16℃,多云,西南风,1-2级
2018-09-21,25℃,14℃,晴,西北风,3-4级
2018-09-22,24℃,13℃,晴,西北风,3-4级
2018-09-23,23℃,12℃,晴,西北风,4-5级
2018-09-24,23℃,11℃,晴,北风,1-2级
2018-09-25,24℃,12℃,晴~多云,南风,1-2级
2018-09-26,24℃,14℃,多云,南风,1-2级
2018-09-27,22℃,12℃,小雨,南风,1-2级
2018-09-28,24℃,11℃,多云,西南风,3-4级
2018-09-29,22℃,11℃,晴,北风,3-4级
2018-09-30,19℃,13℃,多云,西北风,4-5级
2018-10-01,24℃,12℃,晴,北风,4-5级
2018-10-02,24℃,11℃,晴,西北风,1-2级
2018-10-03,25℃,10℃,晴,北风,1-2级
2018-10-04,25℃,12℃,晴,南风,1-2级
2018-10-05,24℃,14℃,多云,南风,1-2级
2018-10-06,20℃,8℃,晴,北风,4-5级
2018-10-07,21℃,7℃,晴,西风,1-2级
2018-10-08,21℃,8℃,多云,北风,1-2级
2018-10-09,15℃,4℃,多云~晴,西北风,4-5级
2018-10-10,17℃,4℃,多云~晴,西北风,1-2级
2018-10-11,18℃,5℃,晴~多云,北风,1-2级
2018-10-12,20℃,8℃,多云~晴,南风,1-2级
2018-10-13,20℃,8℃,多云,西北风,1-2级
2018-10-14,21℃,10℃,多云,南风,1-2级
2018-10-15,17℃,11℃,小雨,北风,1-2级
2018-10-16,17℃,7℃,多云~晴,东北风,1-2级
2018-10-17,17℃,5℃,晴,北风,1-2级
2018-10-18,18℃,5℃,晴,南风,1-2级
2018-10-19,19℃,7℃,多云,南风,1-2级
2018-10-20,18℃,7℃,多云,南风,1-2级
2018-10-21,18℃,7℃,多云,南风,1-2级
2018-10-22,19℃,5℃,多云~晴,西北风,1-2级
2018-10-23,19℃,4℃,晴,西南风,3-4级
2018-10-24,20℃,6℃,晴~多云,南风,1-2级
2018-10-25,15℃,8℃,多云,西风,1-2级
2018-10-26,14℃,3℃,晴,西北风,4-5级
2018-10-27,17℃,5℃,多云,西南风,1-2级
2018-10-28,17℃,4℃,多云~晴,西北风,4-5级
2018-10-29,15℃,3℃,晴,北风,3-4级
2018-10-30,16℃,1℃,晴,北风,1-2级
2018-10-31,17℃,3℃,晴,西南风,1-2级
2018-11-01,17℃,3℃,晴,南风,1-2级
2018-11-02,18℃,4℃,晴,南风,1-2级
2018-11-03,16℃,6℃,多云,南风,1-2级
2018-11-04,10℃,2℃,小雨~多云,北风,3-4级
2018-11-05,10℃,2℃,多云,西南风,1-2级
2018-11-06,12℃,0℃,多云,北风,1-2级
2018-11-07,13℃,3℃,多云,西南风,1-2级
2018-11-08,14℃,2℃,多云,西南风,1-2级
2018-11-09,15℃,1℃,晴~多云,北风,3-4级
2018-11-10,11℃,0℃,多云,北风,1-2级
2018-11-11,13℃,1℃,多云~晴,西南风,1-2级
2018-11-12,14℃,2℃,晴,南风,1-2级
2018-11-13,13℃,5℃,多云,东南风,1-2级
2018-11-14,13℃,5℃,多云,南风,1-2级
2018-11-15,8℃,1℃,小雨~多云,北风,3-4级
2018-11-16,8℃,-1℃,晴~多云,北风,1-2级
2018-11-17,9℃,-2℃,多云~晴,西南风,1-2级
2018-11-18,11℃,-3℃,晴,西北风,3-4级
2018-11-19,10℃,-2℃,晴~多云,南风,1-2级
2018-11-20,9℃,-1℃,多云,北风,1-2级
2018-11-21,9℃,-3℃,晴,西北风,2级
2018-11-22,8℃,-3℃,晴~多云,东南风,1级
2018-11-23,7℃,0℃,多云,东北风,2级
2018-11-24,9℃,-3℃,晴,西南风,1级
2018-11-25,10℃,-3℃,晴,东南风,1级
2018-11-26,10℃,0℃,多云,东南风,1级
2018-11-27,9℃,-3℃,晴~多云,西北风,2级
2018-11-28,8℃,-3℃,晴,东北风,1级
2018-11-29,7℃,-4℃,晴,东南风,1级
2018-11-30,8℃,-3℃,晴,东南风,1级
2018-12-01,7℃,0℃,多云,东南风,1级
2018-12-02,9℃,2℃,雾~多云,东北风,1级
2018-12-03,8℃,-3℃,多云~晴,东北风,3级
2018-12-04,4℃,-6℃,晴~多云,西北风,2级
2018-12-05,1℃,-4℃,阴~多云,东南风,1级
2018-12-06,-2℃,-9℃,晴,西北风,3级
2018-12-07,-4℃,-10℃,晴,西北风,3级
2018-12-08,-2℃,-10℃,晴~多云,西北风,2级
2018-12-09,-1℃,-10℃,多云~晴,东南风,1级
2018-12-10,1℃,-6℃,多云,东北风,1级
2018-12-11,-1℃,-10℃,晴,西北风,3级
2018-12-12,1℃,-8℃,晴,西南风,1级
2018-12-13,3℃,-7℃,晴,西北风,2级
2018-12-14,4℃,-6℃,晴,东南风,1级
2018-12-15,2℃,-6℃,霾,东南风,1级
2018-12-16,7℃,-4℃,晴,西北风,2级
2018-12-17,7℃,-5℃,晴,西北风,2级
2018-12-18,9℃,-4℃,晴,西北风,2级
2018-12-19,9℃,-5℃,晴~多云,西北风,1级
2018-12-20,6℃,-4℃,霾,东南风,1级
2018-12-21,10℃,-2℃,晴~多云,西北风,1级
2018-12-22,8℃,-6℃,多云,西北风,2级
2018-12-23,1℃,-9℃,晴,西北风,3级
2018-12-24,2℃,-8℃,晴,西南风,1级
2018-12-25,2℃,-9℃,晴,东北风,2级
2018-12-26,-2℃,-11℃,晴~多云,东北风,2级
2018-12-27,-5℃,-12℃,多云~晴,西北风,3级
2018-12-28,-3℃,-11℃,晴,西北风,3级
2018-12-29,-3℃,-12℃,晴,西北风,2级
2018-12-30,-2℃,-11℃,晴~多云,东北风,1级
2018-12-31,-2℃,-10℃,多云,东北风,1级
2019-01-01,1℃,-10℃,晴~多云,西北风,1级
2019-01-02,1℃,-9℃,多云,东北风,1级
2019-01-03,2℃,-7℃,霾,东北风,1级
2019-01-04,2℃,-7℃,晴,西北风,2级
2019-01-05,0℃,-8℃,多云,东北风,2级
2019-01-06,3℃,-7℃,多云,东南风,1级
2019-01-07,2℃,-7℃,多云,西北风,2级
2019-01-08,1℃,-10℃,晴,西北风,2级
2019-01-09,3℃,-9℃,晴,西南风,1级
2019-01-10,4℃,-7℃,晴~多云,西南风,1级
2019-01-11,5℃,-7℃,霾,东北风,1级
2019-01-12,6℃,-5℃,霾,西南风,1级
2019-01-13,6℃,-7℃,晴,东北风,1级
2019-01-14,6℃,-8℃,霾~晴,西北风,2级
2019-01-15,-2℃,-10℃,晴,西北风,3级
2019-01-16,2℃,-8℃,晴,西南风,1级
2019-01-17,5℃,-9℃,晴,西北风,1级
2019-01-18,6℃,-6℃,霾~多云,东北风,1级
2019-01-19,3℃,-6℃,多云,东北风,2级
2019-01-20,5℃,-7℃,晴,西北风,2级
2019-01-21,8℃,-4℃,晴,西北风,2级
2019-01-22,10℃,-3℃,晴,西北风,2级
2019-01-23,8℃,-6℃,晴,东北风,2级
2019-01-24,5℃,-5℃,多云,东北风,1级
2019-01-25,5℃,-6℃,晴,东北风,2级
2019-01-26,5℃,-5℃,晴~多云,东南风,1级
2019-01-27,7℃,-4℃,多云~晴,西北风,2级
2019-01-28,6℃,-4℃,晴~多云,西北风,1级
2019-01-29,7℃,-4℃,多云,东南风,1级
2019-01-30,5℃,-7℃,多云,东北风,3级
2019-01-31,2℃,-8℃,多云,西北风,2级
2019-02-01,6℃,-5℃,晴~多云,西南风,1级
2019-02-02,3℃,-4℃,多云,东北风,1级
2019-02-03,8℃,-7℃,多云~晴,西北风,2级
2019-02-04,4℃,-6℃,多云~晴,东北风,1级
2019-02-05,5℃,-5℃,晴~霾,东南风,2级
2019-02-06,2℃,-7℃,霾,东南风,2级
2019-02-07,-2℃,-7℃,多云,东北风,3级
2019-02-08,-1℃,-7℃,多云,西南风,2级
2019-02-09,0℃,-8℃,多云,东北风,2级
2019-02-10,0℃,-8℃,多云,东南风,1级
2019-02-11,3℃,-6℃,多云,东北风,2级
2019-02-12,-3℃,-8℃,小雪~多云,东北风,2级
2019-02-13,1℃,-6℃,多云,东北风,2级
2019-02-14,-3℃,-6℃,小雪~多云,东南风,2级
2019-02-15,2℃,-7℃,晴,西北风,3级
2019-02-16,3℃,-6℃,晴,西北风,2级
2019-02-17,6℃,-5℃,晴~多云,西北风,2级
2019-02-18,4℃,-3℃,阴,东南风,1级
2019-02-19,7℃,-4℃,多云~晴,西北风,2级
2019-02-20,9℃,-4℃,晴,西北风,1级
2019-02-21,11℃,-2℃,晴~多云,东南风,1级
2019-02-22,11℃,-2℃,霾,东北风,1级
2019-02-23,12℃,-2℃,霾,西南风,1级
2019-02-24,13℃,-1℃,晴~多云,东北风,2级
2019-02-25,10℃,-2℃,多云,东南风,1级
2019-02-26,10℃,-2℃,多云,东南风,2级
2019-02-27,12℃,-2℃,晴,东南风,1级
2019-02-28,14℃,-1℃,晴,西北风,1级
2019-03-01,15℃,1℃,晴~多云,东北风,1级
2019-03-02,15℃,3℃,霾,西南风,2级
2019-03-03,15℃,2℃,霾,西南风,1级
2019-03-04,16℃,2℃,多云,东北风,1级
2019-03-05,17℃,4℃,多云~晴,西北风,3级
2019-03-06,11℃,-2℃,晴,西北风,3级
2019-03-07,13℃,-1℃,晴,西南风,2级
2019-03-08,13℃,3℃,多云,西南风,2级
2019-03-09,12℃,2℃,阴~多云,东北风,2级
2019-03-10,13℃,2℃,小雨~多云,东北风,2级
2019-03-11,16℃,1℃,晴,西北风,3级
2019-03-12,12℃,1℃,晴,西北风,3级
2019-03-13,16℃,2℃,多云,西北风,2级
2019-03-14,15℃,4℃,多云,西北风,3级
2019-03-15,13℃,0℃,多云,西北风,3级
2019-03-16,19℃,2℃,晴,西北风,2级
2019-03-17,20℃,4℃,晴,西南风,2级
2019-03-18,21℃,6℃,多云~晴,东南风,1级
2019-03-19,25℃,11℃,多云,西南风,2级
2019-03-20,17℃,6℃,小雨,西南风,2级
2019-03-21,13℃,0℃,晴,西北风,4级
